site,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1,0,1.2693333333333334,1.4720000000000002,1.1999999999999997,1.5999999999999999,1.0720000000000003,0.9120000000000003,1.1786666666666665,1.0506666666666666,1.1733333333333338,1.0773333333333333,0.8426666666666667,1.3279999999999998,1.5893333333333335,1.3333333333333335,1.1786666666666665,1.3013333333333337,1.0293333333333332,0.9493333333333335,1.1360000000000001,1.2106666666666668,1.1573333333333333,1.0560000000000003,0.9706666666666669,0.8053333333333336,0.8853333333333333,1.7066666666666666,1.5626666666666669,1.3760000000000001,0.9546666666666667,1.7546666666666666,1.552,1.2586666666666668,1.0186666666666664,1.2693333333333339,1.0773333333333333,1.3706666666666667,1.125333333333333,1.0773333333333333,1.552,1.3226666666666669,1.2480000000000002,1.408,1.4773333333333334,1.4186666666666667,0.9986666666666665,0.9866666666666669,1.5946666666666667,1.4400000000000002
2,1.2693333333333334,0,1.0666666666666669,1.434666666666667,1.92,1.674666666666667,1.397333333333333,1.866666666666667,1.2533333333333334,0.9226666666666669,1.626666666666667,1.4346666666666668,1.6426666666666667,1.856,1.578666666666667,1.4720000000000004,1.2106666666666666,1.658666666666667,1.4720000000000002,1.6160000000000003,1.1360000000000001,1.584,1.653333333333333,1.248,1.2800000000000002,1.2533333333333334,0.88,0.9973333333333335,1.248,1.3866666666666672,1.8880000000000001,0.9386666666666668,1.413333333333333,1.152,1.0880000000000003,0.8746666666666667,1.3920000000000003,0.8533333333333335,1.1893333333333334,1.0133333333333334,1.1413333333333335,1.4400000000000002,1.5413333333333332,0.6773333333333336,1.1733333333333333,1.0762222222222222,1.114666666666667,0.9706666666666668,0.9866666666666667
3,1.4720000000000002,1.0666666666666669,0,1.616,1.9040000000000001,0.7839999999999999,1.7066666666666668,1.9360000000000002,1.4240000000000004,1.5093333333333334,1.792,1.5520000000000003,1.664,1.888,1.7386666666666668,1.5893333333333337,1.3813333333333335,1.7493333333333336,1.6426666666666665,1.8133333333333337,1.5146666666666668,1.7440000000000002,1.0506666666666669,1.690666666666666,1.696,1.4773333333333334,1.6746666666666665,0.7893333333333336,1.0293333333333337,1.5680000000000003,1.9306666666666668,1.6906666666666668,1.6800000000000002,1.2746666666666666,1.0613333333333337,1.7226666666666668,1.4613333333333338,1.1306666666666667,0.7573333333333335,0.9386666666666669,1.6053333333333335,1.7066666666666668,1.7386666666666666,1.1893333333333331,0.9013333333333333,1.4488888888888891,1.5093333333333332,1.653333333333333,0.6133333333333333
4,1.1999999999999997,1.434666666666667,1.616,0,1.1520000000000001,1.6320000000000001,0.9333333333333333,1.0453333333333332,0.9119999999999998,1.098666666666667,1.2693333333333336,1.0613333333333332,1.1733333333333333,1.2053333333333334,1.264,1.2266666666666668,0.9919999999999999,0.6133333333333334,1.1573333333333333,1.424,1.0826666666666664,1.0559999999999998,1.5679999999999998,1.232,1.2053333333333331,0.9013333333333333,1.632,1.4346666666666668,0.9600000000000001,0.9493333333333333,1.1039999999999999,1.392,0.6613333333333333,1.2053333333333331,1.4080000000000001,1.3333333333333337,1.008,1.1466666666666665,1.3920000000000001,1.2586666666666666,1.0186666666666666,0.7306666666666666,0.816,1.349333333333334,1.1786666666666668,0.9842222222222223,1.1786666666666665,1.7120000000000002,1.3813333333333335
5,1.5999999999999999,1.92,1.9040000000000001,1.1520000000000001,0,1.6106666666666667,1.3333333333333333,1.072,1.413333333333333,1.808,1.616,1.2106666666666666,0.6986666666666667,0.39999999999999997,1.936,1.872,1.5573333333333335,1.072,1.4293333333333331,1.5893333333333333,1.184,1.3066666666666664,1.4933333333333332,1.4506666666666668,1.4666666666666666,1.3706666666666667,1.9146666666666667,1.9040000000000001,1.4453333333333334,0.9333333333333332,0.28800000000000003,1.6159999999999999,1.3600000000000003,1.568,1.5999999999999999,1.5786666666666667,0.9173333333333332,1.6640000000000004,1.5626666666666669,1.8506666666666667,1.6693333333333333,1.2693333333333334,1.392,1.8933333333333335,1.6480000000000001,1.3415555555555556,1.4026666666666665,1.6746666666666665,1.7333333333333334
6,1.0720000000000003,1.674666666666667,0.7839999999999999,1.6320000000000001,1.6106666666666667,0,1.3920000000000001,1.4293333333333331,1.392,1.6693333333333336,1.5413333333333332,0.9653333333333334,1.4773333333333332,1.6373333333333333,1.7706666666666668,1.8080000000000003,1.4346666666666668,1.4773333333333334,1.2693333333333334,1.5200000000000005,1.4133333333333333,1.4293333333333336,0.46933333333333327,1.2426666666666666,1.1733333333333336,1.349333333333333,1.8239999999999998,1.0133333333333334,1.1253333333333333,1.3226666666666669,1.824,1.7066666666666666,1.7439999999999996,1.1680000000000001,1.0026666666666666,1.4666666666666666,1.3653333333333335,1.2853333333333332,0.7146666666666668,1.0773333333333333,1.6533333333333333,1.6853333333333336,1.7439999999999998,1.3813333333333333,1.0666666666666667,1.2666666666666668,1.1733333333333331,1.5786666666666662,0.9173333333333333
7,0.9120000000000003,1.397333333333333,1.7066666666666668,0.9333333333333333,1.3333333333333333,1.3920000000000001,0,0.7893333333333336,0.7466666666666668,0.8586666666666668,0.9653333333333336,0.8586666666666665,1.1733333333333331,1.3599999999999999,1.2373333333333334,1.381333333333333,0.896,0.6133333333333334,0.7893333333333332,1.1306666666666667,0.8533333333333334,0.8213333333333335,1.3119999999999998,0.6186666666666668,0.56,0.7573333333333334,1.4346666666666665,1.3653333333333333,1.0666666666666667,1.1040000000000003,1.4826666666666666,1.152,0.6773333333333332,0.8480000000000001,1.1520000000000001,0.9866666666666667,1.072,1.0986666666666667,1.2000000000000002,1.381333333333333,1.0613333333333332,0.64,0.8959999999999999,1.2586666666666666,1.1946666666666663,0.6231111111111112,0.8319999999999999,1.3173333333333332,1.402666666666667
8,1.1786666666666665,1.866666666666667,1.9360000000000002,1.0453333333333332,1.072,1.4293333333333331,0.7893333333333336,0,1.1146666666666667,1.5786666666666667,1.4613333333333336,1.0346666666666666,1.0933333333333335,1.0453333333333334,1.7493333333333336,1.6853333333333333,0.9706666666666668,0.7733333333333333,1.248,1.4986666666666668,1.2533333333333332,1.2746666666666666,1.3919999999999997,1.2106666666666666,1.1946666666666665,1.2373333333333334,1.84,1.7706666666666668,1.3653333333333333,1.0293333333333334,1.1893333333333334,1.5306666666666666,1.3066666666666666,1.5199999999999998,1.536,1.3813333333333333,1.104,1.6586666666666667,1.4986666666666664,1.4613333333333332,1.216,1.1413333333333333,1.0453333333333332,1.808,1.5573333333333332,1.2544444444444443,1.1306666666666667,1.648,1.6800000000000002
9,1.0506666666666666,1.2533333333333334,1.4240000000000004,0.9119999999999998,1.413333333333333,1.392,0.7466666666666668,1.1146666666666667,0,0.9173333333333337,1.1946666666666668,1.0133333333333334,1.1893333333333334,1.3653333333333333,1.3439999999999999,1.2853333333333332,0.6293333333333334,0.7840000000000001,0.9920000000000001,1.2746666666666666,0.9226666666666667,0.976,1.173333333333333,0.9173333333333334,0.9333333333333335,0.8320000000000002,1.3919999999999997,1.072,0.816,1.1306666666666665,1.5306666666666664,1.1413333333333333,1.0186666666666666,0.96,0.8266666666666669,1.184,1.0026666666666668,1.0346666666666666,0.9546666666666668,1.1093333333333335,0.96,0.896,1.0879999999999999,0.96,0.7146666666666666,0.862,0.9066666666666666,1.258666666666667,1.216
10,1.1733333333333338,0.9226666666666669,1.5093333333333334,1.098666666666667,1.808,1.6693333333333336,0.8586666666666668,1.5786666666666667,0.9173333333333337,0,1.1306666666666667,1.4133333333333338,1.5253333333333334,1.7920000000000003,1.12,1.1573333333333335,0.9706666666666668,1.0720000000000003,1.0773333333333335,1.3120000000000003,0.976,1.1946666666666672,1.6053333333333335,0.8853333333333333,0.9760000000000001,0.96,0.8960000000000001,0.9866666666666671,1.1840000000000002,1.3813333333333337,1.7813333333333337,0.8,0.8906666666666668,0.9173333333333333,1.1786666666666668,1.0506666666666666,1.3546666666666671,0.7893333333333336,1.296,0.992,0.8853333333333333,0.9493333333333335,1.1306666666666667,0.8586666666666668,1.0400000000000003,0.8526666666666668,1.0666666666666667,1.0240000000000005,1.1413333333333333
