site1,site2,distance
9,13,0.5946666666666667
9,14,0.6826666666666666
9,15,0.672
9,16,0.6426666666666667
9,17,0.31466666666666665
9,18,0.392
9,19,0.496
9,20,0.6373333333333333
9,21,0.4613333333333333
9,22,0.488
9,23,0.5866666666666667
9,24,0.45866666666666667
9,25,0.4666666666666667
9,26,0.416
9,27,0.696
9,28,0.536
9,29,0.408
9,30,0.5653333333333334
9,31,0.7653333333333333
9,32,0.5706666666666667
9,33,0.5093333333333333
9,34,0.48
9,35,0.41333333333333333
9,36,0.592
9,37,0.5013333333333333
9,38,0.5173333333333333
9,39,0.47733333333333333
9,40,0.5546666666666666
9,41,0.48
9,42,0.448
9,43,0.544
9,44,0.48
9,45,0.35733333333333334
9,46,0.42971887550200805
9,47,0.4533333333333333
9,48,0.6293333333333333
9,49,0.608
10,1,0.5866666666666667
10,2,0.4613333333333333
10,3,0.7546666666666667
10,4,0.5493333333333333
10,5,0.904
10,6,0.8346666666666667
10,7,0.42933333333333334
10,8,0.7893333333333333
10,9,0.45866666666666667
10,10,0
10,11,0.5653333333333334
10,12,0.7066666666666667
10,13,0.7626666666666667
10,14,0.896
10,15,0.56
10,16,0.5786666666666667
10,17,0.48533333333333334
10,18,0.536
10,19,0.5386666666666666
10,20,0.656
10,21,0.488
10,22,0.5973333333333334
10,23,0.8026666666666666
10,24,0.44266666666666665
10,25,0.488
10,26,0.48
10,27,0.448
10,28,0.49333333333333335
10,29,0.592
10,30,0.6906666666666667
10,31,0.8906666666666667
10,32,0.4
10,33,0.44533333333333336
10,34,0.45866666666666667
10,35,0.5893333333333334
10,36,0.5253333333333333
10,37,0.6773333333333333
10,38,0.39466666666666667
10,39,0.648
10,40,0.496
10,41,0.44266666666666665
10,42,0.4746666666666667
10,43,0.5653333333333334
10,44,0.42933333333333334
10,45,0.52
10,46,0.42704149933065594
10,47,0.5333333333333333
10,48,0.512
10,49,0.5706666666666667
11,1,0.5386666666666666
11,2,0.8133333333333334
11,3,0.896
11,4,0.6346666666666667
11,5,0.808
11,6,0.7706666666666667
11,7,0.4826666666666667
11,8,0.7306666666666667
11,9,0.5973333333333334
11,10,0.5653333333333334
11,11,0
11,12,0.5413333333333333
11,13,0.6773333333333333
11,14,0.8186666666666667
11,15,0.4826666666666667
11,16,0.5306666666666666
11,17,0.68533333333333335
11,18,0.5306666666666666
11,19,0.3466666666666667
11,20,0.36533333333333334
11,21,0.6426666666666667
